method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
vggt,80,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,lego,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,sfm,synthetic,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n80_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,,lego_1_n80_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,0.2987,0.013943,80,0.043,0.0121,0.1095,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n80_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,lego_1_n80_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,,,vggt | Use BA,80.0
vggt,87,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,lego,pinhole,,,,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,sfm,synthetic,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,,lego_1_n87_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,0.2685,0.015949,87,0.0438,0.0124,0.1148,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,lego_1_n87_s42_mpinhole_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,,,vggt | Use BA,87.0
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,bicycle,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,sfm,outdoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,,bicycle_4_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,0.5899,0.03799,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bicycle_4_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,,,vggt | Use BA,100.0
vggt,100,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,bonsai,radial,,,,,MCMC,,,,,Shared Cam,,,Use BA,aliked+sp,250,sfm,indoor,,,,,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,0.5792,0.034349,100,,,,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam/eval_results.json,bonsai_2_n100_s42_mradial_aliked-sp_c0.0_p100000_random_farthestpose_useba_maxba250_sharedcam,,,vggt | Use BA,100.0
colmap,20,42,,44,,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,outdoor,9.327774047851562,0.9867873787879944,0.011039652861654758,38969,,,,,-0.523502769271823,0.6993310048837558,44,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000,19.4863,0.240427,2,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n20_s42_default_farthestpose_sharedcam,bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,44,colmap | ,20.0
colmap,20,42,,91,,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,synthetic,10.803786277770996,0.5119118690490723,0.6756448745727539,90557,0.39187929034233093,111.38931274414062,3.9033923149108887,1.0372014045715332,0.1856218456369937,0.38817920066592554,91,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000,111.3893,0.022876,3,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,91,colmap | ,20.0
colmap,20,42,,2440,,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,indoor,12.78054141998291,0.5810893177986145,0.37014880776405334,1000000,0.00300606875680387,0.4538618326187134,,,0.0008736228385167744,0.4758124597534901,2440,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,bonsai_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000,0.4539,0.008021,9,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n20_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n20_s42_default_farthestpose_sharedcam,bonsai_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,2440,colmap | ,20.0
colmap,40,42,,1993,,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,outdoor,14.498021125793457,0.6936643719673157,0.2647492289543152,1000000,0.0052596041932702065,0.3217424154281616,,,-0.09844915219295165,0.5288765106283476,1993,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000,0.2627,0.018073,18,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n40_s42_default_farthestpose_sharedcam,bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,1993,colmap | ,40.0
colmap,40,42,,2721,,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,synthetic,10.87772274017334,0.5230934023857117,0.6327624917030334,1000000,0.9271525144577026,106.32589721679688,1.28168785572052,0.4776190221309662,0.15501144143030812,0.4035985711348787,2721,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000,173.622,3.771985,36,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,2721,colmap | ,40.0
colmap,40,42,,22059,,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,indoor,16.021272659301758,0.47918105125427246,0.5187664031982422,1000000,0.027446651831269264,1.0800848007202148,,,0.2107043762033523,0.39929573416233055,22059,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,bonsai_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000,1.264,0.122388,34,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n40_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n40_s42_default_farthestpose_sharedcam,bonsai_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,22059,colmap | ,40.0
