method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,quality,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
combined,10,42,0.0,10000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n10_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p10000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n10_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p10000_random_farthestpose_sharedcam,5.6749,0.150109,10,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n10_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p10000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n10_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p10000_random_farthestpose_sharedcam,,,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,10.0
combined,20,42,0.0,20000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n20_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p20000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n20_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p20000_random_farthestpose_sharedcam,3.4244,0.103798,20,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n20_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p20000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n20_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p20000_random_farthestpose_sharedcam,,,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,20.0
combined,30,42,0.0,30000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n30_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p30000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n30_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p30000_random_farthestpose_sharedcam,25.5571,1.157323,30,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n30_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p30000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n30_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p30000_random_farthestpose_sharedcam,,,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,30.0
combined,40,42,0.0,40000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n40_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p40000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n40_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p40000_random_farthestpose_sharedcam,3.3121,0.210741,40,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n40_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p40000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n40_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p40000_random_farthestpose_sharedcam,,,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,40.0
combined,50,42,0.0,50000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n50_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p50000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n50_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p50000_random_farthestpose_sharedcam,0.3632,0.039699,50,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n50_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p50000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n50_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p50000_random_farthestpose_sharedcam,,,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,50.0
combined,60,42,0.0,60000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n60_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p60000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n60_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p60000_random_farthestpose_sharedcam,0.4211,0.015492,60,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n60_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p60000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n60_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p60000_random_farthestpose_sharedcam,,,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,60.0
combined,70,42,0.0,70000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n70_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p70000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n70_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p70000_random_farthestpose_sharedcam,0.3248,0.010464,70,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n70_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p70000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n70_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p70000_random_farthestpose_sharedcam,,,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,70.0
combined,80,42,0.0,80000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n80_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p80000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n80_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p80000_random_farthestpose_sharedcam,0.2951,0.011576,80,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n80_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p80000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n80_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p80000_random_farthestpose_sharedcam,,,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,80.0
combined,90,42,0.0,90000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n90_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p90000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n90_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p90000_random_farthestpose_sharedcam,0.2621,0.012323,90,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n90_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p90000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n90_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p90000_random_farthestpose_sharedcam,,,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,90.0
combined,100,42,0.0,100000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,Fallback Cams,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p100000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p100000_random_farthestpose_sharedcam,0.1993,0.012003,100,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p100000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_combined_colmapcams_bothpcd_amglobal_fallbackcams_default_c0.0_p100000_random_farthestpose_sharedcam,,,combined | colmapcams | bothpcd | Global Alignment | Fallback Cams,100.0
combined,10,42,0.0,10000,random,,,,0,10,farthestpose,,,,,,,,,,,0.0,,vggt,,,,,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,sfm,,,,,,,,,,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n10_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p10000_random_farthestpose_sharedcam/eval_results.json,,bonsai_2_n10_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p10000_random_farthestpose_sharedcam,12.0827,0.17584,4,/home/ojab2/work/git/vggt/combined_outputs/bonsai_2_n10_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p10000_random_farthestpose_sharedcam/eval_results.json,bonsai_2_n10_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p10000_random_farthestpose_sharedcam,,,combined | colmapcams | bothpcd | Global Alignment | ,10.0
