choice,num_images,colmap_mode,pose_opt,eval_rre,eval_rte,rre,rte,num_aligned,quality
COLMAP,20,default,,111.35820770263672,0.39247140288352966,111.3582,0.022895,3,0.18216417074358415
COLMAP,20,default,Pose Opt,124.84488677978516,0.4304473400115967,111.3582,0.022895,3,0.1820527684618855
COLMAP,30,default,,85.98506164550781,1.0257097482681274,85.9851,3.013466,18,0.11317483746749846
COLMAP,30,default,Pose Opt,84.46773529052734,1.0138425827026367,85.9851,3.013466,18,0.0332000762166104
COLMAP,40,default,,176.2496337890625,0.9176681637763977,176.2496,3.722113,35,0.18889275520478388
COLMAP,40,default,Pose Opt,175.0265655517578,0.9176013469696045,176.2496,3.722113,35,0.18881329342171
COLMAP,50,default,,158.61215209960938,0.9356138706207275,158.6122,3.616413,41,0.1541496344089818
COLMAP,50,default,Pose Opt,158.26168823242188,0.9361053109169006,158.6122,3.616413,41,0.15478331388940747
COLMAP,60,default,,151.22836303710938,0.9028717875480652,151.2284,3.589798,49,0.13879432246001844
COLMAP,60,default,Pose Opt,147.38595581054688,0.903235912322998,151.2284,3.589798,49,0.13269682492893808
COLMAP,70,default,,0.18446187674999237,0.0027404611464589834,0.1844,0.010395,70,0.7980565561237003
COLMAP,70,default,Pose Opt,0.13481378555297852,0.001990587217733264,0.1844,0.010395,70,0.8121771208210917
COLMAP,80,default,,14.344383239746094,0.2611846327781677,14.3444,0.883651,80,0.05751729538256356
COLMAP,80,default,Pose Opt,14.386123657226562,0.26047688722610474,14.3444,0.883651,80,0.05883670713004544
COLMAP,87,default,,12.909686088562012,0.23985826969146729,12.9097,0.789921,87,0.07303055266887826
COLMAP,87,default,Pose Opt,12.908929824829102,0.23845438659191132,12.9097,0.789921,87,0.1841184926776626
VGGT,10,relaxed,,,,150.6991,2.796772,3,
VGGT,10,,,2.5924410820007324,0.035920821130275726,2.5925,0.160213,10,0.27845049415647866
VGGT,10,,Pose Opt,1.797942876815796,0.023610975593328476,2.5925,0.160213,10,0.31196938093952575
VGGT,20,relaxed,,,,156.4067,3.864675,20,
VGGT,20,,,2.1459293365478516,0.03247709199786186,2.2981,0.141203,20,0.27551106356273153
VGGT,20,,Pose Opt,1.281259536743164,0.01729847677052021,2.2981,0.141203,20,0.3009692690758212
VGGT,30,relaxed,,,,116.2355,3.82255,30,
VGGT,30,,,2.2345004081726074,0.03255000337958336,2.2345,0.136023,30,0.32321839138158653
VGGT,30,,Pose Opt,2.064500331878662,0.029653998091816902,2.2345,0.136023,30,0.33904698465922345
VGGT,40,relaxed,,,,146.3886,3.71984,40,
VGGT,40,,,1.3581125736236572,0.016375195235013962,1.3219,0.069077,40,0.38055660505431127
VGGT,40,,Pose Opt,1.19911527633667,0.01510382816195488,1.3219,0.069077,40,0.3915752617471632
VGGT,50,relaxed,,,,106.2732,3.60279,50,
VGGT,50,,,0.8615904450416565,0.010803799144923687,0.8706,0.041593,50,0.43980662295228085
VGGT,50,,Pose Opt,0.7644074559211731,0.009869219735264778,0.8706,0.041593,50,0.45001862607194354
VGGT,60,relaxed,,,,89.1108,3.400444,60,
VGGT,60,,,0.6300836801528931,0.00800269190222025,0.6267,0.028956,60,0.5137520469458867
VGGT,60,,Pose Opt,0.5343282222747803,0.00693677831441164,0.6267,0.028956,60,0.5214440793360572
VGGT,70,relaxed,,,,78.5793,3.119769,70,
VGGT,70,,,0.43215081095695496,0.00565393827855587,0.4264,0.02124,70,0.6101818530105629
VGGT,70,,Pose Opt,0.33663591742515564,0.005215562880039215,0.4264,0.02124,70,0.6384535547469327
VGGT,80,relaxed,,,,49.334,3.23752,80,
VGGT,80,,,0.33491480350494385,0.005311889573931694,0.3472,0.018759,80,0.6554822963483926
VGGT,80,,Pose Opt,0.25638195872306824,0.005501710344105959,0.3472,0.018759,80,0.6860333076830109
VGGT,87,relaxed,,,,0.171,0.00751,87,
VGGT,87,,,0.33023202419281006,0.005195914302021265,0.3306,0.018825,87,0.6694650971285316
VGGT,87,,Pose Opt,0.2523270547389984,0.006085794419050217,0.3306,0.018825,87,0.7007669033827605
