method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,shared_camera,keep_backup_cams,random_init,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,raw_metrics,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series,num_points_jitter
vggt,100,44,0.0,10000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.81569480895996,0.3742349147796631,0.599622368812561,1000000,0.0,0.0,,0.448592764747228,10000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s44_c0.0_p10000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s44_c0.0_p10000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,9500.0
vggt,100,42,0.0,20000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.759145736694336,0.34814712405204773,0.612034797668457,1000000,0.0,0.0,,0.4709078645535767,20000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p20000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p20000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,19000.0
vggt,100,43,0.0,20000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.893890380859375,0.34468144178390503,0.6148533225059509,1000000,0.0,0.0,,0.4771907059227669,20000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p20000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_c0.0_p20000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.8604,0.06754,100,vggt | confidence,19000.0
vggt,100,44,0.0,20000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.83785057067871,0.34978002309799194,0.6123478412628174,1000000,0.0,0.0,,0.47154046553462414,20000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s44_c0.0_p20000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s44_c0.0_p20000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,19000.0
vggt,100,42,0.0,30000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.705331802368164,0.3319249749183655,0.6178131103515625,1000000,0.0,0.0,,0.48330411274298357,30000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p30000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p30000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,28500.0
vggt,100,43,0.0,30000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.79964256286621,0.3322031795978546,0.6164083480834961,1000000,0.0,0.0,,0.4840573786217489,30000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p30000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_c0.0_p30000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.8604,0.06754,100,vggt | confidence,28500.0
vggt,100,44,0.0,30000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.668949127197266,0.3290252685546875,0.6194273233413696,1000000,0.0,0.0,,0.4853642859034449,30000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s44_c0.0_p30000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s44_c0.0_p30000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,28500.0
vggt,100,42,0.0,50000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.63270378112793,0.3215659558773041,0.6213787198066711,1000000,0.0,0.0,,0.49043875731300274,50000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p50000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,47500.0
vggt,100,43,0.0,50000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.81107521057129,0.3190295100212097,0.621350109577179,1000000,0.0,0.0,,0.49529090812254284,50000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p50000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_c0.0_p50000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.8604,0.06754,100,vggt | confidence,47500.0
vggt,100,44,0.0,50000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.724218368530273,0.3184649348258972,0.6229820847511292,1000000,0.0,0.0,,0.49498532273848384,50000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s44_c0.0_p50000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s44_c0.0_p50000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,47500.0
vggt,100,42,0.0,75000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.7520694732666,0.3127621114253998,0.6224396824836731,1000000,0.0,0.0,,0.4987041509871827,75000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p75000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p75000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,71250.0
vggt,100,43,0.0,75000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.721576690673828,0.3149344325065613,0.6193634271621704,1000000,0.0,0.0,,0.49499955116889166,75000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p75000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_c0.0_p75000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.8604,0.06754,100,vggt | confidence,71250.0
vggt,100,44,0.0,75000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.841318130493164,0.3111805319786072,0.6236196756362915,1000000,0.0,0.0,,0.5020232419831323,75000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s44_c0.0_p75000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s44_c0.0_p75000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,71250.0
vggt,100,42,0.0,100000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.78083038330078,0.30550122261047363,0.6233962774276733,1000000,0.0,0.0,,0.5042782028128838,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,95000.0
vggt,100,43,0.0,100000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.816370010375977,0.3079758882522583,0.621932864189148,1000000,0.0,0.0,,0.5025529754556876,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p100000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_c0.0_p100000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.8604,0.06754,100,vggt | confidence,95000.0
vggt,100,44,0.0,100000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.815685272216797,0.303408682346344,0.6243163347244263,1000000,0.0,0.0,,0.5067534004425831,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s44_c0.0_p100000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s44_c0.0_p100000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,95000.0
vggt,100,42,0.0,250000,confidence,farthestpose,100,GT Eval,GT Extrinsics,GT Intrinsics,,,,,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,,,,,,,gsplat,22.44685173034668,0.30386003851890564,0.6151331663131714,1000000,0.0,0.0,,0.4942742608211659,250000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p250000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p250000_confidence_farthestpose_i100_gteval_gtext_gtint_steps15000,0.857,0.067143,100,vggt | confidence,237500.0
