choice,dataset,depth_lambda,depth_conf_mode,depth_loss_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,bicycle,0.0,,,0.0986,22.163246154785156,0.3494715690612793,0.5586552619934082,,
COLMAP,bicycle,0.01,,points,0.0986,22.19541358947754,0.35155153274536133,0.550025224685669,,
COLMAP,bicycle,0.1,,points,0.0986,21.965484619140625,0.3727203905582428,0.525836706161499,,
COLMAP,bicycle,1.0,,points,0.0986,21.667509078979492,0.39417871832847595,0.503787100315094,,
COLMAP,bicycle,10.0,,points,0.0986,21.16566276550293,0.43580299615859985,0.4697146415710449,,
VGGT,bicycle,0.0,,,0.7161,17.384122848510742,0.337806761264801,0.26788055896759033,,
VGGT,bicycle,0.1,,points,0.7161,17.350006103515625,0.34167400002479553,0.26532721519470215,,
COLMAP,bonsai,0.0,,,0.1581,24.653011322021484,0.17453931272029877,0.7761514782905579,,
COLMAP,bonsai,0.01,,points,0.1581,25.025754928588867,0.17221306264400482,0.7876349091529846,,
COLMAP,bonsai,0.1,,points,0.1581,26.851804733276367,0.16934701800346375,0.8498984575271606,,
COLMAP,bonsai,1.0,,points,0.1581,24.154159545898438,0.18641792237758636,0.7751926779747009,,
COLMAP,bonsai,10.0,,points,0.1581,22.470006942749023,0.21691569685935974,0.7076914310455322,,
VGGT,bonsai,0.0,,,0.7215,17.40581512451172,0.3973557949066162,0.559679388999939,,
COLMAP,lego,0.0,,,10.4269,25.237646102905273,0.05288347229361534,0.9056525826454163,,0.01985725574195385
COLMAP,lego,0.01,,points,10.4269,25.171138763427734,0.05332547053694725,0.9049533009529114,,0.019853845238685608
COLMAP,lego,0.1,,points,10.4269,25.277332305908203,0.05302310734987259,0.9056869149208069,,0.019724035635590553
COLMAP,lego,1.0,,points,10.4269,25.126136779785156,0.05613192915916443,0.9008785486221313,,0.020146941766142845
COLMAP,lego,10.0,,points,10.4269,24.80658531188965,0.06535745412111282,0.889276385307312,,0.02137848176062107
VGGT,lego,0.0,,,0.3306,20.653635025024414,0.07170300930738449,0.7774046659469604,0.0133,
