choice,dataset,num_images,depth_loss_mode,eval_rre,eval_rte,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
VGGT,bonsai,30,,0.9206830263137817,0.023799002170562744,16.324657440185547,0.4496622383594513,0.5129817128181458,,
VGGT,bonsai,30,closer,0.9195312857627869,0.02246338129043579,16.388559341430664,0.4520750343799591,0.5087530016899109,,
VGGT,bonsai,30,full,0.9454103708267212,0.01879526488482952,16.212940216064453,0.43554720282554626,0.5049737691879272,,
VGGT,bonsai,30,points,0.9210569858551025,0.02293967269361019,16.116254806518555,0.4545983076095581,0.49638697504997253,,
VGGT,kitchen,30,,0.16266058385372162,0.004843368194997311,19.270221710205078,0.22625146806240082,0.49594083428382874,,
VGGT,kitchen,30,closer,0.17497652769088745,0.005234148818999529,19.0994930267334,0.22278520464897156,0.48659247159957886,,
VGGT,kitchen,30,full,0.19122913479804993,0.005269907880574465,17.627044677734375,0.26696205139160156,0.4371372163295746,,
VGGT,kitchen,30,points,0.22159980237483978,0.005682476330548525,18.289684295654297,0.2969687879085541,0.47915878891944885,,
VGGT,counter,30,,0.3405108153820038,0.007026628591120243,17.623441696166992,0.35817795991897583,0.5414295196533203,,
VGGT,counter,30,closer,0.2534344494342804,0.006860075984150171,18.250171661376953,0.33749428391456604,0.5701280236244202,,
VGGT,counter,30,full,0.32567012310028076,0.006857902277261019,17.28729248046875,0.3585645854473114,0.5289648771286011,,
VGGT,counter,30,points,0.36452966928482056,0.007039119955152273,17.271814346313477,0.37299853563308716,0.5203019976615906,,
