choice,dataset,num_points,sampling_mode,near_filtering_strength,psnr,lpips,ssim,quality,avge
COLMAP,bicycle,17352,,,21.783464431762695,0.5648755431175232,0.49468523263931274,0.2504312408830223,0.42745421212513923
VGGT,bicycle,10000,imagefreqnovis,,21.49455451965332,0.6237800717353821,0.465155690908432,0.1914514993366443,0.45406630597066205
VGGT,bicycle,10000,imagefreqvoxels,,20.716543197631836,0.7012571692466736,0.4246872365474701,0.10555275064385353,0.48940997871016123
VGGT,bicycle,10000,random,,21.466327667236328,0.6019055843353271,0.47350776195526123,0.2093158019216438,0.4448793312249644
VGGT,bicycle,50000,imagefreqnovis,,22.18896484375,0.4453634023666382,0.5540399551391602,0.36642379819610965,0.37306890930897946
VGGT,bicycle,50000,imagefreqvoxels,,21.79710578918457,0.5056988596916199,0.5117771029472351,0.29720792133673357,0.40367989545379435
VGGT,bicycle,50000,random,,22.24410057067871,0.40740251541137695,0.5741255879402161,0.4026234605391355,0.3553192577135458
VGGT,bicycle,100000,imagefreqnovis,,22.41463279724121,0.37144771218299866,0.5835511088371277,0.4334877882397275,0.3408370899584681
VGGT,bicycle,100000,imagefreqvoxels,,22.11776351928711,0.4325433671474457,0.5434542894363403,0.3668284093582297,0.3714552707745945
VGGT,bicycle,100000,random,,22.47892951965332,0.33729591965675354,0.5987346768379211,0.46463910122828644,0.3254672500212601
VGGT,bicycle,500000,imagefreqnovis,,22.213748931884766,0.2934076189994812,0.589292049407959,0.481297888873536,0.31342639032916025
VGGT,bicycle,500000,imagefreqvoxels,,22.00525665283203,0.3426896929740906,0.5621694922447205,0.431154742885364,0.33689308499271997
VGGT,bicycle,500000,random,,22.220556259155273,0.2613552510738373,0.5984534025192261,0.5065668792287741,0.30034314624937075
COLMAP,bonsai,80892,,,27.56590461730957,0.19642038643360138,0.892535388469696,0.8176158311267887,0.1753299462875919
VGGT,bonsai,10000,imagefreqnovis,,23.2061767578125,0.4293850064277649,0.755486249923706,0.5129291139848051,0.3095492737150186
VGGT,bonsai,10000,imagefreqvoxels,,22.820798873901367,0.47379738092422485,0.7244128584861755,0.4602058665794238,0.3346614416761592
VGGT,bonsai,10000,random,,23.134552001953125,0.42437347769737244,0.7572712302207947,0.5157401139973199,0.3073025233539315
VGGT,bonsai,50000,imagefreqnovis,,24.04017448425293,0.3164033889770508,0.799765944480896,0.6240098137139809,0.25594100151069854
VGGT,bonsai,50000,imagefreqvoxels,,23.93688201904297,0.33097317814826965,0.7815691232681274,0.6024618773509962,0.2674594742549006
VGGT,bonsai,50000,random,,23.987865447998047,0.30965760350227356,0.8003233075141907,0.6275311362596205,0.25350059824016835
VGGT,bonsai,100000,imagefreqnovis,,24.327857971191406,0.2830921411514282,0.807253897190094,0.654278704065096,0.2419374424757817
VGGT,bonsai,100000,imagefreqvoxels,,24.18973159790039,0.2914362847805023,0.7921138405799866,0.637716268044621,0.250397508497862
VGGT,bonsai,100000,random,,24.208824157714844,0.27977776527404785,0.8068446516990662,0.6538809603727661,0.24102212192152106
VGGT,bonsai,500000,imagefreqnovis,,23.671249389648438,0.26471787691116333,0.7963395118713379,0.6470787428353342,0.2400998649378926
VGGT,bonsai,500000,imagefreqvoxels,,23.385717391967773,0.2709158658981323,0.7879633903503418,0.6330668774419516,0.2453253786380718
VGGT,bonsai,500000,random,,23.713462829589844,0.2615298628807068,0.7964258193969727,0.6498788553371764,0.23899147008550342
COLMAP,lego,10069,,,31.352123260498047,0.05998559296131134,0.9637013673782349,1.0135675310275243,0.08374668655551011
VGGT,lego,8700,imagefreqnovis,,31.44190216064453,0.05872517451643944,0.9652901887893677,1.0169372746576884,0.08191611580022137
VGGT,lego,8700,imagefreqvoxels,,31.35356903076172,0.059582605957984924,0.9643153548240662,1.0142021189462527,0.08307287574566559
VGGT,lego,8700,random,,31.468175888061523,0.05820160731673241,0.9657813310623169,1.0180342324983385,0.081299216016576
VGGT,lego,43500,imagefreqnovis,,32.78618240356445,0.03691594675183296,0.9781138896942139,1.0627930797999599,0.06179399203566477
VGGT,lego,43500,imagefreqvoxels,,32.76569747924805,0.03722819685935974,0.9779353737831116,1.0621165871000504,0.062099610271990305
VGGT,lego,43500,random,,32.786956787109375,0.0368952713906765,0.9780892729759216,1.0628057870629004,0.06181479402270032
VGGT,lego,87000,imagefreqnovis,,33.034568786621094,0.033624470233917236,0.9798346757888794,1.070430910920384,0.05870878220416022
VGGT,lego,87000,imagefreqvoxels,,33.0267219543457,0.033655036240816116,0.979703962802887,1.0701902909634018,0.05887243675188986
VGGT,lego,87000,random,,33.046653747558594,0.03357459604740143,0.9798767566680908,1.0707101017294802,0.05864228204857862
VGGT,lego,435000,imagefreqnovis,,33.058624267578125,0.03180941194295883,0.9798387885093689,1.0719991942421037,0.05809802006837526
VGGT,lego,435000,imagefreqvoxels,,33.05182647705078,0.031853385269641876,0.9797598123550415,1.0717999803179497,0.058205546855175094
VGGT,lego,435000,random,,33.04466247558594,0.03182639554142952,0.9797991514205933,1.0717069792517058,0.05815071477203852
