choice,rre,rte,psnr,lpips,ssim,num_aligned
COLMAP,0.3653,0.010147,12.657774925231934,0.5720204710960388,0.36473900079727173,9
VGGT,0.8715,0.105606,16.017148971557617,0.48860669136047363,0.4894988238811493,20
