Choice,Camera Src,Pcd Src,Validation Step RRE ↓,Validation Step RTE ↓,PSNR ↑,LPIPS ↓,SSIM ↑,Composite Quality ↑
COLMAP,colmapcams,bothpcd,0.10489999502897263,0.004348000045865774,20.99113655090332,0.25985491275787354,0.49763020873069763,0.42576505031734413
COLMAP,colmapcams,vggtpcd,0.10489999502897263,0.004348000045865774,20.75154685974121,0.27468252182006836,0.4854995608329773,0.4050814129455745
VGGT,vggtcams,bothpcd,0.8569999933242798,0.015425998717546463,17.241741180419922,0.4308307468891144,0.25709372758865356,0.11012655550818543
VGGT,vggtcams,colmappcd,0.8569999933242798,0.015425998717546463,17.401226043701172,0.520298957824707,0.2883671224117279,0.07614122318555352
