choice,num_points,sampling_mode,rre,rte,psnr,lpips,ssim,quality
COLMAP,10313,,10.4784,0.403756,22.786890029907227,0.06574113667011261,0.8507940173149109,0.7853716059773675
VGGT,870,confidence,0.2976,0.018838,20.773061752319336,0.1276174783706665,0.7849150896072388,0.6713575283531401
VGGT,870,imagefps,0.2976,0.018838,20.732013702392578,0.1312786191701889,0.7838835716247559,0.6677341889335862
VGGT,870,random,0.2976,0.018838,20.80647087097168,0.12634418904781342,0.7851104140281677,0.6728764216066413
VGGT,870,voxels,0.2976,0.018838,20.66238784790039,0.12895366549491882,0.7830423712730408,0.6673880478172352
VGGT,4350,confidence,0.2976,0.018838,20.55731201171875,0.10766437649726868,0.7761982083320618,0.6745813009489505
VGGT,4350,imagefps,0.2976,0.018838,20.58719825744629,0.10751638561487198,0.7772645950317383,0.6758497202934732
VGGT,4350,random,0.2976,0.018838,20.567495346069336,0.10715185850858688,0.7760917544364929,0.675023996603419
VGGT,4350,voxels,0.2976,0.018838,20.553871154785156,0.10797790437936783,0.7756953239440918,0.6740299612090059
VGGT,8700,confidence,0.2976,0.018838,20.55201530456543,0.10328426957130432,0.7754263877868652,0.6767356264428552
VGGT,8700,imagefps,0.2976,0.018838,20.51663589477539,0.10324668139219284,0.77437424659729,0.6754883675218171
VGGT,8700,random,0.2976,0.018838,20.5560359954834,0.103163942694664,0.7753990888595581,0.67686839524688
VGGT,8700,voxels,0.2976,0.018838,20.601343154907227,0.10275178402662277,0.7772859930992126,0.679065288420309
VGGT,27774,ba,0.2685,0.015949,22.96965217590332,0.07458535581827164,0.8368433117866516,0.7751383883001123
VGGT,43500,confidence,0.2976,0.018838,20.575944900512695,0.09686783701181412,0.7743822336196899,0.6805289114757045
VGGT,43500,imagefps,0.2976,0.018838,20.61343765258789,0.09669386595487595,0.7750223875045776,0.6817049702376493
VGGT,43500,random,0.2976,0.018838,20.571998596191406,0.09747566282749176,0.7742735147476196,0.6800170523575019
VGGT,43500,voxels,0.2976,0.018838,20.54008674621582,0.09730445593595505,0.7736892104148865,0.6791900769989547
VGGT,87000,confidence,0.2976,0.018838,20.61480140686035,0.09459185600280762,0.7748991250991821,0.6829556786758394
VGGT,87000,imagefps,0.2976,0.018838,20.58357048034668,0.09591566771268845,0.7741469144821167,0.6811202712129508
VGGT,87000,random,0.2976,0.018838,20.61736488342285,0.09517913311719894,0.7747763395309448,0.6825688293008852
VGGT,87000,voxels,0.2976,0.018838,20.561214447021484,0.09585598111152649,0.7731336951255798,0.6801505882372867
VGGT,435000,confidence,0.2976,0.018838,20.576032638549805,0.09324343502521515,0.7731208801269531,0.6820301878095989
VGGT,435000,imagefps,0.2976,0.018838,20.610553741455078,0.09459139406681061,0.7736690640449524,0.6821579694012065
VGGT,435000,random,0.2976,0.018838,20.579578399658203,0.09366791695356369,0.7729958891868591,0.6817607300536365
VGGT,435000,voxels,0.2976,0.018838,20.573318481445312,0.09295640140771866,0.7737110257148743,0.6825022212652666
VGGT,870000,confidence,0.2976,0.018838,20.59653091430664,0.09229299426078796,0.7734269499778748,0.683175465555606
VGGT,870000,imagefps,0.2976,0.018838,20.605642318725586,0.09272468090057373,0.7730685472488403,0.6828681297934309
VGGT,870000,random,0.2976,0.018838,20.607177734375,0.09257718920707703,0.773316502571106,0.6831326107842493
VGGT,870000,voxels,0.2976,0.018838,20.55267333984375,0.09211361408233643,0.7727274298667908,0.6820649406676016
