choice,reconstruct_pose_opt,pose_opt,rre,rte,num_aligned,eval_rre,eval_rte,quality
COLMAP,,,12.9097,0.789921,87,12.909686088562012,0.23985826969146729,0.07303055266887826
COLMAP,,Pose Opt,12.9097,0.789921,87,12.908929824829102,0.23845438659191132,0.1841184926776626
VGGT,,,0.3306,0.018825,87,0.33023154735565186,0.005195914302021265,0.6693421055389117
VGGT,,Pose Opt,0.3306,0.018825,87,0.25530245900154114,0.006085267756134272,0.6996038075563115
VGGT,Rec Pose Opt,,0.8344,0.253131,87,,,
