method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,inference_time,peak_memory_mb,peak_memory_reserved_mb,processing_time,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
colmap,10,42,,146,,,,,0,10,minfarthestpose,10,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,12.353164672851562,0.7327916622161865,0.44888290762901306,154676,0.00241318391636014,0.14835837483406067,,,-0.05464085059323964,0.5111107307319637,146,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000/stats/val_step14999.json,counter_2_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000,0.1484,0.006143,5,0.596288,,,,2.018458604812622,7172,7172,0,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n10_s42_default_minfarthestpose_sharedcam/eval_results.json,counter_2_n10_s42_default_minfarthestpose_sharedcam,counter_2_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000_val_step14999.json,146,colmap,10.0
colmap,20,42,,600,,,,,0,10,minfarthestpose,20,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,16.78005599975586,0.5113248825073242,0.5714883208274841,667264,0.0011932066408917308,0.12131094932556152,,,0.2357455791785703,0.39564068181976697,600,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,counter_2_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000,0.1213,0.004206,13,0.894575,,,,11.622976779937744,7234,7234,0,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n20_s42_default_minfarthestpose_sharedcam/eval_results.json,counter_2_n20_s42_default_minfarthestpose_sharedcam,counter_2_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,600,colmap,20.0
colmap,30,42,,2748,,,,,0,10,minfarthestpose,30,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,22.41564178466797,0.29226407408714294,0.7693297266960144,1000000,0.0004540314548648894,0.027827588841319084,,,0.5910277287242782,0.2594264125195249,2748,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,counter_2_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000,0.0278,0.001854,30,1.015369,,,,23.2292320728302,7298,7298,0,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n30_s42_default_minfarthestpose_sharedcam/eval_results.json,counter_2_n30_s42_default_minfarthestpose_sharedcam,counter_2_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,2748,colmap,30.0
colmap,40,42,,5897,,,,,0,10,minfarthestpose,40,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,24.299144744873047,0.23028264939785004,0.8186064958572388,1000000,0.0002846908464562148,0.023295808583498,,,0.6929843759405061,0.21996729876481713,5897,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,counter_2_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000,0.0233,0.001168,40,1.031823,,,,46.28237509727478,7358,7358,0,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n40_s42_default_minfarthestpose_sharedcam/eval_results.json,counter_2_n40_s42_default_minfarthestpose_sharedcam,counter_2_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,5897,colmap,40.0
colmap,50,42,,9773,,,,,0,10,minfarthestpose,50,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,25.204635620117188,0.2012728750705719,0.8427934646606445,1000000,0.00030415455694310367,0.02628336101770401,,,0.7418044197861446,0.20026079953145293,9773,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,counter_2_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000,0.0263,0.001254,50,1.017398,,,,69.99852871894836,7418,7418,0,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n50_s42_default_minfarthestpose_sharedcam/eval_results.json,counter_2_n50_s42_default_minfarthestpose_sharedcam,counter_2_n50_s42_default_minfarthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,9773,colmap,50.0
colmap,60,42,,14845,,,,,0,10,minfarthestpose,60,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,26.158340454101562,0.1889503002166748,0.8658013939857483,1000000,0.00023013997997622937,0.019907232373952866,,,0.7805270775329608,0.1859011778767024,14845,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000/stats/val_step14999.json,counter_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000,0.0199,0.000942,60,1.009266,,,,97.29622483253479,7482,7482,0,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n60_s42_default_minfarthestpose_sharedcam/eval_results.json,counter_2_n60_s42_default_minfarthestpose_sharedcam,counter_2_n60_s42_default_minfarthestpose_sharedcam_i60_gteval_steps15000_val_step14999.json,14845,colmap,60.0
colmap,70,42,,20431,,,,,0,10,minfarthestpose,70,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,26.725461959838867,0.18234191834926605,0.8777703046798706,1000000,0.00021438101248349994,0.018934760242700577,,,0.8021079386845279,0.17802700660067874,20431,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000/stats/val_step14999.json,counter_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000,0.0189,0.000872,70,0.987931,,,,136.9727382659912,7542,7542,0,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n70_s42_default_minfarthestpose_sharedcam/eval_results.json,counter_2_n70_s42_default_minfarthestpose_sharedcam,counter_2_n70_s42_default_minfarthestpose_sharedcam_i70_gteval_steps15000_val_step14999.json,20431,colmap,70.0
colmap,80,42,,28563,,,,,0,10,minfarthestpose,80,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,27.375858306884766,0.1690811663866043,0.8878010511398315,1000000,0.00019333191448822618,0.01627672277390957,,,0.8282038984436582,0.1686240420885094,28563,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n80_s42_default_minfarthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n80_s42_default_minfarthestpose_sharedcam_i80_gteval_steps15000/stats/val_step14999.json,counter_2_n80_s42_default_minfarthestpose_sharedcam_i80_gteval_steps15000,0.0163,0.000772,80,0.978881,,,,183.8114914894104,7602,7602,0,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n80_s42_default_minfarthestpose_sharedcam/eval_results.json,counter_2_n80_s42_default_minfarthestpose_sharedcam,counter_2_n80_s42_default_minfarthestpose_sharedcam_i80_gteval_steps15000_val_step14999.json,28563,colmap,80.0
colmap,90,42,,35747,,,,,0,10,minfarthestpose,90,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,27.590927124023438,0.16619718074798584,0.8896318674087524,1000000,0.00018561838078312576,0.018596289679408073,,,0.8350375451539691,0.16671853735468584,35747,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n90_s42_default_minfarthestpose_sharedcam_i90_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n90_s42_default_minfarthestpose_sharedcam_i90_gteval_steps15000/stats/val_step14999.json,counter_2_n90_s42_default_minfarthestpose_sharedcam_i90_gteval_steps15000,0.0186,0.00076,90,0.994265,,,,231.36329460144043,7666,7666,0,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n90_s42_default_minfarthestpose_sharedcam/eval_results.json,counter_2_n90_s42_default_minfarthestpose_sharedcam,counter_2_n90_s42_default_minfarthestpose_sharedcam_i90_gteval_steps15000_val_step14999.json,35747,colmap,90.0
colmap,100,42,,41914,,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,indoor,27.93535614013672,0.16450491547584534,0.8961127400398254,1000000,0.0001695939718047157,0.015633879229426384,,,0.8462504524546369,0.16280968081820685,41914,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,counter_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_steps15000,0.0156,0.000691,100,0.993642,,,,292.9965500831604,7726,7726,0,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n100_s42_default_minfarthestpose_sharedcam/eval_results.json,counter_2_n100_s42_default_minfarthestpose_sharedcam,counter_2_n100_s42_default_minfarthestpose_sharedcam_i100_gteval_steps15000_val_step14999.json,41914,colmap,100.0
