choice,num_images,sampling_mode,use_ba,max_ba_iterations,shared_camera,camera_type,rre,rte,num_aligned,quality
VGGT,25,random,Use BA,50,Shared Cam,pinhole,1.7995,0.146329,25,0.0031491525766523067
VGGT,25,random,Use BA,50,Shared Cam,radial,1.7644,0.146203,25,0.0051398555747559724
VGGT,25,random,Use BA,3000,Shared Cam,pinhole,1.7995,0.146329,25,0.0037157034781012026
VGGT,25,random,Use BA,3000,Shared Cam,radial,1.7644,0.146203,25,0.004679172475900365
VGGT,25,random,,,,,1.0783,0.091856,25,0.036908758972433245
VGGT,50,random,Use BA,50,Shared Cam,pinhole,0.9167,0.070467,50,0.09182683231770179
VGGT,50,random,Use BA,50,Shared Cam,radial,0.8398,0.073226,50,0.0940736765362676
VGGT,50,random,Use BA,3000,Shared Cam,pinhole,0.9167,0.070467,50,0.09090309808438597
VGGT,50,random,Use BA,3000,Shared Cam,radial,0.8398,0.073226,50,0.09224699467633593
VGGT,50,random,,,,,0.9199,0.086453,50,0.11620200799609877
VGGT,75,random,Use BA,50,Shared Cam,pinhole,0.8521,0.045004,75,0.11955586201653537
VGGT,75,random,Use BA,50,Shared Cam,radial,0.7757,0.046518,75,0.12606388969495746
VGGT,75,random,Use BA,3000,Shared Cam,pinhole,0.8521,0.045004,75,0.11982636400598301
VGGT,75,random,Use BA,3000,Shared Cam,radial,0.7757,0.046518,75,0.12606389012098157
VGGT,75,random,,,,,0.8919,0.075478,75,0.14567641940033232
VGGT,100,random,Use BA,50,Shared Cam,pinhole,0.8705,0.046584,100,0.12988422682255876
VGGT,100,random,Use BA,50,Shared Cam,radial,0.7917,0.048267,100,0.13801936602886816
VGGT,100,random,Use BA,3000,Shared Cam,pinhole,0.8705,0.046584,100,0.12912330312183573
VGGT,100,random,Use BA,3000,Shared Cam,radial,0.7917,0.048267,100,0.13826466811175778
VGGT,100,random,,,,,0.857,0.067143,100,0.16499779532682285
