choice,optimisation_iterations,pose_opt,rre,rte,num_aligned,eval_rre,eval_rte,quality
VGGT,0,,0.857,0.067143,100,0.8569999933242798,0.015425998717546463,0.10419683928145769
VGGT,0,Pose Opt,0.857,0.067143,100,0.7236999273300171,0.014096999540925026,0.16499779532682285
VGGT,1,,0.8636,0.064091,100,0.8635515570640564,0.014755918644368649,0.10143692819540809
VGGT,1,Pose Opt,0.8636,0.064091,100,0.7274472713470459,0.014227244071662426,0.17541145128116278
VGGT,10,,1.8307,0.054492,100,1.8306193351745605,0.01266032736748457,0.04907863243901167
VGGT,10,Pose Opt,1.8307,0.054492,100,1.7989124059677124,0.012816331349313259,0.07776890523717186
VGGT,20,,1.9195,0.051579,100,1.919531226158142,0.011824696324765682,0.03938855018764449
VGGT,20,Pose Opt,1.9195,0.051579,100,1.8835333585739136,0.01271737739443779,0.05665561597482042
VGGT,30,,1.9462,0.051949,100,1.1556259393692017,0.010495559312403202,0.04948038033187352
