method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,inference_time,peak_memory_mb,peak_memory_reserved_mb,file_path,sfm_file_path,folder,input_folder,output_folder,failed_sfm_file_path,used_cache,cache_load_time,eval_rte,eval_rre,plot_series,num_images_jitter
colmap,60,42,,,,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,,,default,MCMC,,,,,Shared Cam,,,,,,sfm,,outdoor,0.1344,0.010799,59,1.02818,,,,14.349272727966309,7410.0,7410,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n60_s42_default_minfarthestpose_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n60_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n60_s42_default_minfarthestpose_sharedcam,bicycle_4_n60_s42_default_minfarthestpose_sharedcam,,,,,,,colmap,60.0
vggt,60,42,0.0,100000,random,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,,,,MCMC,,,,,,,,,,,sfm,,outdoor,0.7342,0.065719,60,4.937964,,,,6.1404965877532955,24973.3662109375,29720,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n60_s42_c0.0_p100000_random_timing_minfarthestpose/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n60_s42_c0.0_p100000_random_timing_minfarthestpose/eval_results.json,bicycle_4_n60_s42_c0.0_p100000_random_timing_minfarthestpose,bicycle_4_n60_s42_c0.0_p100000_random_timing_minfarthestpose,,,False,0,,,vggt,60.0
colmap,70,42,,,,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,,,default,MCMC,,,,,Shared Cam,,,,,,sfm,,outdoor,0.12,0.009717,69,1.016821,,,,20.831656455993652,7470.0,7470,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n70_s42_default_minfarthestpose_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n70_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n70_s42_default_minfarthestpose_sharedcam,bicycle_4_n70_s42_default_minfarthestpose_sharedcam,,,,,,,colmap,70.0
vggt,70,42,0.0,100000,random,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,,,,MCMC,,,,,,,,,,,sfm,,outdoor,0.8769,0.061125,70,4.877382,,,,7.8654885530471805,28060.35400390625,32358,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n70_s42_c0.0_p100000_random_timing_minfarthestpose/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n70_s42_c0.0_p100000_random_timing_minfarthestpose/eval_results.json,bicycle_4_n70_s42_c0.0_p100000_random_timing_minfarthestpose,bicycle_4_n70_s42_c0.0_p100000_random_timing_minfarthestpose,,,False,0,,,vggt,70.0
colmap,80,42,,,,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,,,default,MCMC,,,,,Shared Cam,,,,,,sfm,,outdoor,0.119,0.008923,80,1.011902,,,,27.30118417739868,7552.0,7552,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n80_s42_default_minfarthestpose_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n80_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n80_s42_default_minfarthestpose_sharedcam,bicycle_4_n80_s42_default_minfarthestpose_sharedcam,,,,,,,colmap,80.0
vggt,80,42,0.0,100000,random,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,,,,MCMC,,,,,,,,,,,sfm,,outdoor,0.9233,0.065463,80,5.217082,,,,9.692562007904053,31121.44091796875,35196,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n80_s42_c0.0_p100000_random_timing_minfarthestpose/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n80_s42_c0.0_p100000_random_timing_minfarthestpose/eval_results.json,bicycle_4_n80_s42_c0.0_p100000_random_timing_minfarthestpose,bicycle_4_n80_s42_c0.0_p100000_random_timing_minfarthestpose,,,False,0,,,vggt,80.0
colmap,90,42,,,,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,,,default,MCMC,,,,,Shared Cam,,,,,,sfm,,outdoor,0.113,0.008149,89,1.011157,,,,32.59644627571106,7616.0,7616,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n90_s42_default_minfarthestpose_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n90_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n90_s42_default_minfarthestpose_sharedcam,bicycle_4_n90_s42_default_minfarthestpose_sharedcam,,,,,,,colmap,90.0
vggt,90,42,0.0,100000,random,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,,,,MCMC,,,,,,,,,,,sfm,,outdoor,0.7367,0.06455,90,5.282349,,,,11.652852654457092,34199.01318359375,38508,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n90_s42_c0.0_p100000_random_timing_minfarthestpose/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n90_s42_c0.0_p100000_random_timing_minfarthestpose/eval_results.json,bicycle_4_n90_s42_c0.0_p100000_random_timing_minfarthestpose,bicycle_4_n90_s42_c0.0_p100000_random_timing_minfarthestpose,,,False,0,,,vggt,90.0
colmap,100,42,,,,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,,,default,MCMC,,,,,Shared Cam,,,,,,sfm,,outdoor,0.1088,0.007262,99,1.015409,,,,45.9896764755249,7676.0,7676,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n100_s42_default_minfarthestpose_sharedcam/eval_results.json,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n100_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_default_minfarthestpose_sharedcam,bicycle_4_n100_s42_default_minfarthestpose_sharedcam,,,,,,,colmap,100.0
vggt,100,42,0.0,100000,random,,,,0,10,minfarthestpose,,,,,,,False,,,,,0.0,,False,1.0,1.0,vggt,bicycle,,,,,,MCMC,,,,,,,,,,,sfm,,outdoor,0.679,0.066492,100,5.275284,,,,13.795529508590699,37285.01025390625,41472,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_timing_minfarthestpose/eval_results.json,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_random_timing_minfarthestpose/eval_results.json,bicycle_4_n100_s42_c0.0_p100000_random_timing_minfarthestpose,bicycle_4_n100_s42_c0.0_p100000_random_timing_minfarthestpose,,,False,0,,,vggt,100.0
