choice,dataset,num_images,image_mode,eval_rre,eval_rte,num_aligned,psnr,lpips,ssim
COLMAP,bonsai,100,farthestpose,0.09680686891078949,0.0010529047576710582,100,24.653011322021484,0.17453931272029877,0.7761514782905579
COLMAP,bonsai,100,minfarthestpose,0.0776166319847107,0.001035260153003037,100,25.54378890991211,0.14396746456623077,0.7954827547073364
VGGT,bonsai,100,farthestpose,0.7885617017745972,0.021631203591823578,100,17.422657012939453,0.3988327085971832,0.5597713589668274
VGGT,bonsai,100,minfarthestpose,0.6934566497802734,0.01881927065551281,100,18.46109962463379,0.33550846576690674,0.5824333429336548
COLMAP,kitchen,100,farthestpose,0.09359873086214066,0.0009081275202333927,100,21.59664535522461,0.14201965928077698,0.49743717908859253
COLMAP,kitchen,100,minfarthestpose,0.08556358516216278,0.0008918195962905884,100,22.442726135253906,0.12718938291072845,0.5514160990715027
VGGT,kitchen,100,farthestpose,0.235776886343956,0.005308283492922783,100,20.017711639404297,0.17643724381923676,0.4138493239879608
VGGT,kitchen,100,minfarthestpose,0.15866483747959137,0.0047913966700434685,100,21.232662200927734,0.15592406690120697,0.5311336517333984
COLMAP,counter,100,farthestpose,0.025510873645544052,0.0002561314613558352,100,25.227703094482422,0.18847616016864777,0.8500107526779175
COLMAP,counter,100,minfarthestpose,0.020605646073818207,0.00022327476472128183,100,27.591217041015625,0.1640363335609436,0.8841723799705505
VGGT,counter,100,farthestpose,0.25385963916778564,0.006176562514156103,100,20.807443618774414,0.23748624324798584,0.6405438780784607
VGGT,counter,100,minfarthestpose,0.2777145802974701,0.006049837917089462,100,20.58078384399414,0.2260625958442688,0.622958779335022
