choice,dataset,depth_conf_mode,depth_loss_mode,eval_rre,eval_rte,psnr,lpips,ssim,quality
VGGT,bonsai,,,0.6934566497802734,0.01881927065551281,18.46109962463379,0.33550846576690674,0.5824333429336548,0.38180526670811626
VGGT,bonsai,,full,0.7655540704727173,0.01585816778242588,18.286258697509766,0.34664618968963623,0.579465925693512,0.3699570018180861
VGGT,bonsai,Scaled,full,0.7746713757514954,0.015969960018992424,18.342252731323242,0.34265896677970886,0.5803431868553162,0.3739681953032966
VGGT,bonsai,Scaled Shifted,full,0.7526059150695801,0.016469240188598633,18.479965209960938,0.33481383323669434,0.5827564597129822,0.38277237209272974
VGGT,bonsai,Sigmoid,full,0.7787834405899048,0.0160222165286541,18.294490814208984,0.3493892550468445,0.5800052285194397,0.36873157997267675
VGGT,bonsai,Sigmoid Shifted,full,0.7752677798271179,0.01633371040225029,18.308855056762695,0.34049829840660095,0.5800835490226746,0.3745316307679487
VGGT,bonsai,Standard,full,0.7668023109436035,0.01589750126004219,18.284452438354492,0.34615302085876465,0.579660177230835,0.37034157516895905
VGGT,bonsai,Standard Shifted,full,0.7906231880187988,0.016604935750365257,18.339956283569336,0.3446682095527649,0.5809768438339233,0.37305595481295023
VGGT,kitchen,,,0.15866483747959137,0.0047913966700434685,21.232662200927734,0.15592406690120697,0.5311336517333984,0.5139852473881432
VGGT,kitchen,,full,0.17249973118305206,0.004519054666161537,20.573942184448242,0.18358542025089264,0.5423675775527954,0.4912813663521396
VGGT,kitchen,Scaled,full,0.16638940572738647,0.004567631520330906,20.87726402282715,0.1640169769525528,0.5232669711112976,0.49780777813243426
VGGT,kitchen,Scaled Shifted,full,0.16185195744037628,0.004670841619372368,21.165754318237305,0.16045260429382324,0.5345245599746704,0.511933806346871
VGGT,kitchen,Sigmoid,full,0.18481744825839996,0.004690238274633884,20.176759719848633,0.19399048388004303,0.5181463956832886,0.46333882290097783
VGGT,kitchen,Sigmoid Shifted,full,0.17185993492603302,0.004590210970491171,21.01039695739746,0.1638660430908203,0.5381792783737183,0.5090870194190349
VGGT,kitchen,Standard,full,0.17752178013324738,0.004559028893709183,20.459619522094727,0.18844732642173767,0.5391502976417542,0.48428165312321486
VGGT,kitchen,Standard Shifted,full,0.2054680585861206,0.004870282486081123,19.74392318725586,0.1884404569864273,0.4438246488571167,0.4152862642437239
VGGT,counter,,,0.2777145802974701,0.006049837917089462,20.58078384399414,0.2260625958442688,0.622958779335022,0.5123169427571783
VGGT,counter,,full,0.25067782402038574,0.0060103596188127995,20.9154109954834,0.22482582926750183,0.6344618201255798,0.5260041024562521
VGGT,counter,Scaled,full,0.24765491485595703,0.006011238321661949,21.08740997314453,0.22071993350982666,0.6375970244407654,0.5335572250792544
VGGT,counter,Scaled Shifted,full,0.24837328493595123,0.006013472564518452,20.99994468688965,0.22256943583488464,0.6357510685920715,0.5297163231098628
VGGT,counter,Sigmoid,full,0.2313539832830429,0.006036614067852497,21.118114471435547,0.22796539962291718,0.6440451741218567,0.5334241647198263
VGGT,counter,Sigmoid Shifted,full,0.23778694868087769,0.006039727944880724,21.243972778320312,0.22405186295509338,0.6449764966964722,0.5387152705663516
VGGT,counter,Standard,full,0.2505812346935272,0.005997972562909126,20.889312744140625,0.22464066743850708,0.6343182921409607,0.525551164436836
VGGT,counter,Standard Shifted,full,0.21910281479358673,0.006146559026092291,21.5699520111084,0.23216700553894043,0.6605234146118164,0.5488343406141849
