choice,dataset,random_init,pcd_src,real_num_points,eval_rre,eval_rte,psnr,ssim,lpips
COLMAP,bicycle,Random Init,,17352,0.09855562448501587,0.0017129764892160892,21.157697677612305,0.45401525497436523,0.5056108236312866
COLMAP,bicycle,Random Init,,100000,0.09855562448501587,0.0017129764892160892,20.35305404663086,0.4325849413871765,0.45962393283843994
COLMAP,bicycle,,Both Pcds,34704,0.09855562448501587,0.0017129764892160892,21.29896354675293,0.48434844613075256,0.3039701282978058
COLMAP,bicycle,,Both Pcds,116763,0.10094049572944641,0.0019043416250497103,21.20793914794922,0.4763392210006714,0.2629093825817108
COLMAP,bicycle,,VGGT Pcd,17352,0.09855562448501587,0.0017129764892160892,21.08086395263672,0.46949079632759094,0.3467508852481842
COLMAP,bicycle,,VGGT Pcd,100000,0.09855562448501587,0.0017129764892160892,20.94462776184082,0.46551474928855896,0.27387332916259766
COLMAP,bicycle,,,17352,0.09855562448501587,0.0017129764892160892,21.33245086669922,0.4795043170452118,0.36376556754112244
