choice,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,quality
COLMAP,,,,0.09547652231554773
COLMAP,,GT Intrinsics,,0.09930017321352994
COLMAP,GT Extrinsics,,,0.9139187638541952
COLMAP,GT Extrinsics,GT Intrinsics,,1.0740708024316674
VGGT,,,,0.6694650971285316
VGGT,,GT Intrinsics,,0.6742269345755854
VGGT,GT Extrinsics,,,0.9142333408303271
VGGT,GT Extrinsics,GT Intrinsics,,1.0804504386625597
