choice,depth_loss_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,,4.2437,16.905426025390625,0.4359471797943115,0.601554274559021,,
VGGT,,0.4666,19.10796546936035,0.31933096051216125,0.6473017930984497,,
