choice,reconstruct_pose_opt,pose_opt,rre,rte,num_aligned,eval_rre,eval_rte,quality
COLMAP,,,0.1993,0.012003,100,0.19934388995170593,0.0028074365109205246,0.5794510377197004
COLMAP,,Pose Opt,0.1993,0.012003,100,0.10533700883388519,0.0009729048470035195,0.6716858738811855
VGGT,,,0.7897,0.107121,100,,,
VGGT,Rec Pose Opt,,1.2181,0.210458,100,,,
