method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series,num_images_jitter
vggt,50,43,0.0,55000,random,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,50,gsplat,17.078289031982422,0.3964850902557373,0.24936406314373016,1000000,0.009225000627338886,0.6580000519752502,0.1237804148784313,55000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s43_mradial_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s43_mradial_c0.0_p55000_random_farthestpose_useba_maxba50_sharedcam_i50_gteval_poseopt_steps15000,0.8098,0.049791,50,vggt | random | Use BA | 50.0 | Shared Cam | radial,50.0
vggt,75,42,0.0,82500,random,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,50,gsplat,16.762845993041992,0.3711944818496704,0.23656219244003296,1000000,0.008414999581873417,0.6258000731468201,0.12606388969495746,82500,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n75_s42_mradial_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_mradial_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam_i75_gteval_poseopt_steps15000,0.7757,0.046518,75,vggt | random | Use BA | 50.0 | Shared Cam | radial,75.0
vggt,75,43,0.0,82500,random,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,50,gsplat,16.947847366333008,0.37296363711357117,0.24604709446430206,1000000,0.0073369997553527355,0.6302000284194946,0.13394449623162444,82500,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n75_s43_mradial_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s43_mradial_c0.0_p82500_random_farthestpose_useba_maxba50_sharedcam_i75_gteval_poseopt_steps15000,0.7681,0.041974,75,vggt | random | Use BA | 50.0 | Shared Cam | radial,75.0
vggt,100,42,0.0,110000,random,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,50,gsplat,16.89228630065918,0.3622530400753021,0.24346892535686493,1000000,0.007718000560998917,0.6281999349594116,0.13801936602886816,110000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mradial_c0.0_p110000_random_farthestpose_useba_maxba50_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_mradial_c0.0_p110000_random_farthestpose_useba_maxba50_sharedcam_i100_gteval_poseopt_steps15000,0.7917,0.048267,100,vggt | random | Use BA | 50.0 | Shared Cam | radial,100.0
vggt,100,43,0.0,110000,random,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,vggt,radial,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,50,gsplat,17.017236709594727,0.3606521785259247,0.2463248074054718,1000000,0.007841999642550945,0.5965999364852905,0.14299155509340214,110000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_mradial_c0.0_p110000_random_farthestpose_useba_maxba50_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_mradial_c0.0_p110000_random_farthestpose_useba_maxba50_sharedcam_i100_gteval_poseopt_steps15000,0.761,0.047949,100,vggt | random | Use BA | 50.0 | Shared Cam | radial,100.0
vggt,25,42,0.0,27500,random,farthestpose,25,GT Eval,,,,Pose Opt,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,3000,gsplat,15.515604972839355,0.5054152607917786,0.20852024853229523,1000000,0.03349699825048447,1.7975000143051147,0.0037157034781012026,27500,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n25_s42_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba3000_sharedcam_i25_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba3000_sharedcam_i25_gteval_poseopt_steps15000,1.7995,0.146329,25,vggt | random | Use BA | 3000.0 | Shared Cam | pinhole,25.0
vggt,25,43,0.0,27500,random,farthestpose,25,GT Eval,,,,Pose Opt,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,3000,gsplat,15.548907279968262,0.4904592037200928,0.20943105220794678,1000000,0.02233700081706047,1.2260998487472534,0.01409718059269623,27500,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n25_s43_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba3000_sharedcam_i25_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n25_s43_mpinhole_c0.0_p27500_random_farthestpose_useba_maxba3000_sharedcam_i25_gteval_poseopt_steps15000,1.231,0.108222,25,vggt | random | Use BA | 3000.0 | Shared Cam | pinhole,25.0
vggt,50,42,0.0,55000,random,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,3000,gsplat,16.616413116455078,0.4194057881832123,0.23196399211883545,1000000,0.013505000621080399,0.8291000127792358,0.09090309808438597,55000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba3000_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba3000_sharedcam_i50_gteval_poseopt_steps15000,0.9167,0.070467,50,vggt | random | Use BA | 3000.0 | Shared Cam | pinhole,50.0
vggt,50,43,0.0,55000,random,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,3000,gsplat,16.946617126464844,0.40229514241218567,0.24409160017967224,1000000,0.009432000108063221,0.7325999736785889,0.11467228263442282,55000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s43_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba3000_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s43_mpinhole_c0.0_p55000_random_farthestpose_useba_maxba3000_sharedcam_i50_gteval_poseopt_steps15000,0.886,0.050228,50,vggt | random | Use BA | 3000.0 | Shared Cam | pinhole,50.0
vggt,75,42,0.0,82500,random,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,vggt,pinhole,,15000,15000,,MCMC,,,,Shared Cam,,,Use BA,3000,gsplat,16.67618751525879,0.3774811327457428,0.23527611792087555,1000000,0.008399000391364098,0.6951000094413757,0.11982636400598301,82500,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n75_s42_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba3000_sharedcam_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_mpinhole_c0.0_p82500_random_farthestpose_useba_maxba3000_sharedcam_i75_gteval_poseopt_steps15000,0.8521,0.045004,75,vggt | random | Use BA | 3000.0 | Shared Cam | pinhole,75.0
