method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,used_cache,cache_load_time,inference_time,processing_time,peak_memory_mb,peak_memory_reserved_mb,processing_peak_memory_mb,processing_peak_memory_reserved_mb,sfm_file_path,input_folder,output_folder,initial_points,plot_series
vggt,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,closer,,0.1,Standard Shifted,True,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,1. All Features,indoor,18.2702579498291,0.3387146294116974,0.5831462144851685,1000000,0.018991880118846893,0.7091224789619446,,,0.37670893220641233,0.3330831684474141,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000,0.7308,0.098078,100,7.817163,,,,1,0.7660601139068604,2.384185791015625e-07,3.221172571182251,0,0,308,0,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose,bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000_val_step14999.json,100000,1. All Features
vggt,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,closer,,0.1,,False,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,3. No Depth Conf,indoor,18.286203384399414,0.3364412486553192,0.5830399990081787,1000000,0.018527111038565636,0.6969764232635498,,,0.37834542517231373,0.33233459852491826,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000,0.7308,0.098078,100,7.817163,,,,1,0.7660601139068604,2.384185791015625e-07,3.221172571182251,0,0,308,0,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose,bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000_val_step14999.json,100000,3. No Depth Conf
vggt,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,,,0.0,,False,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,4. No Depth Loss,indoor,18.248064041137695,0.33832642436027527,0.5832527279853821,1000000,0.01943030394613743,0.6938503980636597,,,0.3765998552417197,0.3329517033917719,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000,0.7308,0.098078,100,7.817163,,,,1,0.7660601139068604,2.384185791015625e-07,3.221172571182251,0,0,308,0,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose,bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000_val_step14999.json,100000,4. No Depth Loss
vggt,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,closer,,0.1,Standard Shifted,True,1.0,1.0,vggt,bonsai,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,7. No Pose Opt,indoor,18.676815032958984,0.3741626441478729,0.5959461331367493,1000000,0.023722030222415924,0.7308088541030884,,,0.36984160904608593,0.34112559881101034,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_depthcloser_dl0.1_confshifted_steps15000,0.7308,0.098078,100,7.817163,,,,1,0.7660601139068604,2.384185791015625e-07,3.221172571182251,0,0,308,0,/home/ojab2/work/git/vggt/vggt_outputs/bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose/eval_results.json,bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose,bonsai_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_depthcloser_dl0.1_confshifted_steps15000_val_step14999.json,100000,7. No Pose Opt
vggt,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,closer,,0.1,Standard Shifted,True,1.0,1.0,vggt,kitchen,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,1. All Features,indoor,21.145740509033203,0.1830548793077469,0.5463559627532959,1000000,0.0046786353923380375,0.16059094667434692,,,0.5045301076303138,0.28808901526426245,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000,0.2827,0.025851,100,4.144792,,,,1,0.72882080078125,0.0,3.2319090366363525,0,0,308,0,/home/ojab2/work/git/vggt/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose/eval_results.json,kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose,kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000_val_step14999.json,100000,1. All Features
vggt,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,closer,,0.1,,False,1.0,1.0,vggt,kitchen,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,3. No Depth Conf,indoor,21.589651107788086,0.1819504052400589,0.5874749422073364,1000000,0.004572438541799784,0.16633814573287964,,,0.5374786352050079,0.2770554521637155,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000,0.2827,0.025851,100,4.144792,,,,1,0.72882080078125,0.0,3.2319090366363525,0,0,308,0,/home/ojab2/work/git/vggt/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose/eval_results.json,kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose,kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000_val_step14999.json,100000,3. No Depth Conf
vggt,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,,,0.0,,False,1.0,1.0,vggt,kitchen,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,4. No Depth Loss,indoor,21.09030532836914,0.18208658695220947,0.5569835305213928,1000000,0.0046828752383589745,0.1603059023618698,,,0.5103161934523555,0.285153743098143,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000,0.2827,0.025851,100,4.144792,,,,1,0.72882080078125,0.0,3.2319090366363525,0,0,308,0,/home/ojab2/work/git/vggt/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose/eval_results.json,kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose,kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_steps15000_val_step14999.json,100000,4. No Depth Loss
vggt,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,,False,,,closer,,0.1,Standard Shifted,True,1.0,1.0,vggt,kitchen,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,7. No Pose Opt,indoor,20.397130966186523,0.25370392203330994,0.4845692217350006,1000000,0.005697792861610651,0.2827957272529602,,,0.4109238506602807,0.3269217122535354,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_depthcloser_dl0.1_confshifted_steps15000,0.2827,0.025851,100,4.144792,,,,1,0.72882080078125,0.0,3.2319090366363525,0,0,308,0,/home/ojab2/work/git/vggt/vggt_outputs/kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose/eval_results.json,kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose,kitchen_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_depthcloser_dl0.1_confshifted_steps15000_val_step14999.json,100000,7. No Pose Opt
vggt,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,closer,,0.1,Standard Shifted,True,1.0,1.0,vggt,counter,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,1. All Features,indoor,20.954530715942383,0.22534820437431335,0.6311987638473511,1000000,0.006009934935718775,0.24478530883789062,,,0.5244978679086265,0.2802217210279764,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000/stats/val_step14999.json,counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000,0.3873,0.030482,100,4.485239,,,,1,0.8075981140136719,0.0,3.2635350227355957,0,0,308,0,/home/ojab2/work/git/vggt/vggt_outputs/counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose/eval_results.json,counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose,counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confshifted_steps15000_val_step14999.json,100000,1. All Features
vggt,100,42,0.0,100000,confidence,,,,0,10,minfarthestpose,100,GT Eval,,,,Pose Opt,False,,,closer,,0.1,,False,1.0,1.0,vggt,counter,,,15000,15000,,MCMC,,,,,,,,,,,gsplat,3. No Depth Conf,indoor,20.98882293701172,0.22407720983028412,0.6325162649154663,1000000,0.0060198064893484116,0.24597571790218353,,,0.5266879420337776,0.2794151096240942,100000,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000/stats/val_step14999.json,counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000,0.3873,0.030482,100,4.485239,,,,1,0.8075981140136719,0.0,3.2635350227355957,0,0,308,0,/home/ojab2/work/git/vggt/vggt_outputs/counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose/eval_results.json,counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose,counter_2_n100_s42_c0.0_p100000_confidence_minfarthestpose_i100_gteval_poseopt_depthcloser_dl0.1_confdisabled_steps15000_val_step14999.json,100000,3. No Depth Conf
