choice,camera_src,pcd_src,sampling_mode,eval_rre,eval_rte,psnr,lpips,ssim,quality
COLMAP,COLMAP Cams,Both Pcds,confidence,0.19737577438354492,0.0034312093630433083,21.877010345458984,0.13503731787204742,0.7337315082550049,0.6572889540588955
COLMAP,COLMAP Cams,Both Pcds,random,0.20330606400966644,0.0034548304975032806,21.754127502441406,0.13633710145950317,0.7322109341621399,0.6533217856913436
COLMAP,COLMAP Cams,Both Pcds,voxels,0.19532789289951324,0.00339730572886765,21.84964942932129,0.13685834407806396,0.7339637875556946,0.6557940160244451
COLMAP,COLMAP Cams,VGGT Pcd,confidence,0.19253678619861603,0.003413102123886347,21.95587921142578,0.13516291975975037,0.7362685203552246,0.660155589391536
COLMAP,COLMAP Cams,VGGT Pcd,random,0.20051275193691254,0.0034411493688821793,21.830835342407227,0.13609963655471802,0.7337884306907654,0.6558113971106645
COLMAP,COLMAP Cams,VGGT Pcd,voxels,0.19251559674739838,0.0033918232657015324,21.917020797729492,0.13570022583007812,0.7355678081512451,0.6586945455054171
COLMAP,,,,0.19158199429512024,0.0032720775343477726,21.73459243774414,0.14872097969055176,0.7402476668357849,0.6500154996243601
VGGT,,,confidence,0.37889042496681213,0.008320881985127926,22.837900161743164,0.12902608513832092,0.7482362985610962,0.6872761809182988
VGGT,,,random,0.3774765133857727,0.008290652185678482,22.873300552368164,0.1295565515756607,0.7488802075386047,0.687980850247147
VGGT,,,voxels,0.37872210144996643,0.008308185264468193,22.76759147644043,0.1307801455259323,0.7470088601112366,0.6841736146387456
