choice,optimisation_iterations,pose_opt,rre,rte,num_aligned,eval_rre,eval_rte,quality
VGGT,0,,0.3306,0.018825,87,0.33023154735565186,0.005195914302021265,0.6693421055389117
VGGT,1,,0.4509,0.018806,87,,,
VGGT,10,,0.7279,0.017235,87,,,
VGGT,20,,0.7638,0.019227,87,,,
VGGT,30,,0.8147,0.018451,87,,,
