choice,error_opa,splatting_strategy,rre,rte,psnr,lpips,ssim,num_GS
VGGT,,Default,1.623,0.091981,13.953619956970215,0.2902303636074066,0.6583857536315918,256661
VGGT,,MCMC,1.623,0.091981,13.995551109313965,0.28713545203208923,0.6563844680786133,1000000
VGGT,Err Opa Init,Default,1.623,0.091981,13.94873046875,0.2894372045993805,0.6587147116661072,261898
VGGT,Err Opa Init,MCMC,1.623,0.091981,13.996721267700195,0.28712916374206543,0.6565664410591125,1000000
